ID,Category,Language,Genre,Pubdate,Author_Last,Author_First,Work_Title,token_count,total_characters,avg_sentence_length,avg_word_length,speed_avg,circuitousness,volume,goodreads_avg,goodreads_URL
"2012_Robinson,KimStanley_2312_SF.txt",FIC,English,Science Fiction,2012,Robinson,KimStanley,2312,200411,35,17.4391750783,4.3598687782,-2.1171,0.26751,-3.0007,3.5,https://www.goodreads.com/search?q=+2312
"2012_Robinson,Marilynne_WhenIWasaChildIReadBooks_NF.txt",NON,English,Mixed Genre,2012,Robinson,Marilynne,WhenIWasaChildIReadBooks,75045,31,27.4086924763,4.709627446,-2.3319,0.12646,-2.8953,3.89,https://www.goodreads.com/search?q=+When+I+Wasa+Child+I+Read+Books
"2012_Robotham,Michael_SayYoureSorry_MY.txt",FIC,English,Mystery,2012,Robotham,Michael,SayYoureSorry,141725,58,10.9728244038,4.1680181046,-2.1263,0.33056,-2.9867,4.19,https://www.goodreads.com/search?q=Michael+Robotham+Say+Youre+Sorry
"2012_Roll,Rich_FindingUltra_ME.txt",NON,English,Memoir,2012,Roll,Rich,FindingUltra,87625,35,18.0595630668,4.3446505859,-2.3061,0.12475,-2.8689,4.0,https://www.goodreads.com/search?q=Rich+Roll+Finding+Ultra
"2012_Ronald,RD_TheZombieRoom_MY.txt",FIC,English,Mystery,2012,Ronald,RD,TheZombieRoom,94614,43,16.7785068275,4.2974336207,-2.2185,0.23124,-2.9241,4.09,https://www.goodreads.com/search?q=RD+Ronald+The+Zombie+Room
"2012_Rowell,Rainbow_Eleanor&Park_YA.txt",FIC,English,Young Adult,2012,Rowell,Rainbow,ElanorAndPark,103676,28,11.736019923,3.9793127801,-2.2907,0.22664,-2.9963,3.75,https://www.goodreads.com/search?q=+Elanor+And+Park
"2012_Rowling,JK_TheCasualVacancy_BS.txt",FIC,English,Unkown,2012,JK,Rowling,TheCasualVacancy,202850,90,18.5998532918,4.3481507611,-2.3142,0.20669,-3.1346,3.3,https://www.goodreads.com/search?q=Rowling+JK+The+Casual+Vacancy
"2012_Rubin,Gretchen_HappieratHome_ME.txt",NON,English,Memoir,2012,Rubin,Gretchen,HappieratHome,95645,20,19.7613636364,4.3660991969,-2.1779,0.15833,-2.7867,3.53,https://www.goodreads.com/search?q=+Happierat+Home
"2012_Runcie,James_SidneyChambersandTheShadow_MY.txt",FIC,English,Mystery,2012,Runcie,James,SidneyChambersandTheShadow,133135,72,14.0541539111,4.1626283368,-2.328,0.22036,-3.0639,3.67,https://www.goodreads.com/search?q=+Sidney+Chambersand+The+Shadow
"2012_Sacks,Oliver_Hallucinations_NF.txt",NON,English,Mixed Genre,2012,Sacks,Oliver,Hallucinations,98959,42,27.4428729895,4.7292292056,-2.1605,0.18537,-2.8074,3.9,https://www.goodreads.com/search?q=Oliver+Sacks+Hallucinations
"2012_Sandford,John_MadRiver_BS.txt",FIC,English,Unkown,2012,John,Sandford,MadRiver,127348,66,16.2185430464,3.9812666999,-2.2575,0.23936,-3.0005,4.2,https://www.goodreads.com/search?q=Sandford+John+Mad+River
"2012_Sawyer,RobertJ_Triggers_SF.txt",FIC,English,Science Fiction,2012,Sawyer,RobertJ,Triggers,126138,65,15.020004763,4.2345577878,-2.1654,0.26133,-2.9368,3.92,https://www.goodreads.com/search?q=+Triggers
"2012_Schwalbe,Will_TheEndofyouLifeBookClub_ME.txt",NON,English,Memoir,2012,Schwalbe,Will,TheEndofyouLifeBookClub,109477,55,20.4974723834,4.1637555962,-2.3501,0.20281,-3.0048,3.8,https://www.goodreads.com/search?q=+The+Endofyou+Life+Book+Club
"2012_Schwarzenegger,Arnold_TotalRecall_ME.txt",NON,English,Memoir,2012,Schwarzenegger,Arnold,TotalRecall,269417,176,18.6589791537,4.24537259,-2.2803,0.16831,-3.1396,4.12,https://www.goodreads.com/search?q=Arnold+Schwarzenegger+Total+Recall
"2012_Scott,JenniferL_LessonsfromMadameChic_ME.txt",NON,English,Memoir,2012,Scott,JenniferL,LessonsfromMadameChic,64289,9,17.9077994429,4.3558454893,-2.1554,0.089937,-2.6775,3.69,https://www.goodreads.com/search?q=+Lessonsfrom+Madame+Chic
"2012_Scottoline,Lisa_ComeHome_MY.txt",FIC,English,Mystery,2012,Scottoline,Lisa,ComeHome,137799,60,12.4965085699,4.0439701531,-2.1085,0.30554,-2.9462,3.59,https://www.goodreads.com/search?q=Lisa+Scottoline+Come+Home
"2012_Self,Will_Umbrella_PW.txt",FIC,English,Unkown,2012,Self,Will,Umbrella,164075,69,27.2957910497,4.4850835887,-2.3454,0.1846,-3.0485,3.15,https://www.goodreads.com/search?q=Will+Self+Umbrella
"2012_Semple,Maria_WheredYouGoBernadette_BS.txt",FIC,English,Unkown,2012,Maria,Semple,WheredYouGoBernadette,109993,71,13.85302267,4.1751078535,-2.2021,0.1686,-2.8542,3.89,https://www.goodreads.com/search?q=Semple+Maria+Whered+You+Go+Bernadette
"2012_Sensoy,Ozlem_IsEveryoneREallyEqual_HIST.txt",NON,English,Historical,2012,Sensoy,Ozlem,IsEveryoneREallyEqual,103660,52,24.2252862818,5.0305574404,-2.0801,0.1257,-2.6799,4.08,https://www.goodreads.com/search?q=+Is+Everyone+R+Eally+Equal
"2012_Shapiro,BA_TheArtForger_MY.txt",FIC,English,Mystery,2012,Shapiro,BA,TheArtForger,123039,56,14.0905863491,4.0830411789,-2.2689,0.26283,-3.0302,3.73,https://www.goodreads.com/search?q=BA+Shapiro+The+Art+Forger
"2012_Shawn,Melanie_SweetReunion_ROM.txt",FIC,English,Romance,2012,Shawn,Melanie,SweetReunion,99335,27,15.9805341055,4.186152019,-2.1543,0.30434,-2.9703,3.97,https://www.goodreads.com/search?q=Melanie+Shawn+Sweet+Reunion
"2012_Sheehan,Madeline_Undeniable_ROM.txt",FIC,English,Romance,2012,Sheehan,Madeline,Undeniable,84478,38,12.1972278371,3.9789104218,-2.2319,0.22751,-2.9377,4.03,https://www.goodreads.com/search?q=Madeline+Sheehan+Undeniable
"2012_Shepherd,Mike_KrisLongknife_SF.txt",FIC,English,Science Fiction,2012,Shepherd,Mike,KrisLongknife,137079,71,13.8128778718,4.1607709349,-2.3835,0.1366,-3.015,3.89,https://www.goodreads.com/search?q=Mike+Shepherd+Kris+Longknife
"2012_Shiller,RobertJ_FinanceandtheGoodSociety_NF.txt",NON,English,Mixed Genre,2012,Shiller,RobertJ,FinanceandtheGoodSociety,112063,22,28.8005654074,4.9771916122,-2.1756,0.083472,-2.7326,3.63,https://www.goodreads.com/search?q=+Financeandthe+Good+Society
"2012_Silver,Charlotte_CharlotteAuChocolat_MemoriesofaResta_NF.txt",NON,English,Mixed Genre,2012,Silver,Charlotte,CharlotteAuChocolat,59556,28,19.552199606,4.3026185281,-2.2905,0.15485,-2.8557,3.23,https://www.goodreads.com/search?q=Charlotte+Silver+Charlotte+Au+Chocolat
"2012_Skinner,Jeffrey_The65PracticesofModeratelySuccessful_NF.txt",NON,English,Mixed Genre,2012,Skinner,Jeffrey,The65PracticesofModeratelySuccessful,61275,20,18.3623014684,4.3026877621,-2.1493,0.20235,-2.7719,3.84,https://www.goodreads.com/search?q=+The65+Practicesof+Moderately+Successful
"2012_Slattery,BrianFrancis_LostEverything_SF.txt",FIC,English,Science Fiction,2012,Slattery,BrianFrancis,LostEverything,91565,27,14.0977675135,4.1619781917,-2.3304,0.24411,-3.0364,3.73,https://www.goodreads.com/search?q=+Lost+Everything
"2012_Sloan,Robin_MrPenumbras24Hour_MY.txt",FIC,English,Mystery,2012,Sloan,Robin,MrPenumbras24Hour,98656,35,14.3000434846,4.1687253516,-2.3165,0.15962,-2.9274,3.73,https://www.goodreads.com/search?q=+Mr+Penumbras24+Hour
"2012_Smith,Daniel_MonkeyMind_NF.txt",NON,English,Mixed Genre,2012,Smith,Daniel,MonkeyMind,73821,18,17.5931839847,4.3891355362,-2.2199,0.17779,-2.8045,3.25,https://www.goodreads.com/search?q=Daniel+Smith+Monkey+Mind
"2012_Smitherd,Luke_TheStoneMan_SF.txt",FIC,English,Science Fiction,2012,Smitherd,Luke,TheStoneMan,174440,24,19.0853391685,4.0875426124,-2.3511,0.19707,-3.1328,3.68,https://www.goodreads.com/search?q=Luke+Smitherd+The+Stone+Man
"2012_Snicket,Lemony_WhoCouldThatBeAtThisHour_ MG.txt",FIC,English,Middle Grade,2012,Snicket,Lemony,WhoCouldThatBeAtThisHour,45987,21,15.9289920333,4.0429828281,-2.2025,0.31164,-2.8989,3.83,https://www.goodreads.com/search?q=Lemony+Snicket+Who+Could+That+Be+At+This+Hour
"2012_Snyder,Carrie_TheJulietStories_PW.txt",FIC,English,Unkown,2012,Snyder,Carrie,TheJulietStories,103727,49,14.7759259259,4.308568235,-2.3073,0.13081,-2.9018,3.63,https://www.goodreads.com/search?q=Carrie+Snyder+The+Juliet+Stories
"2012_Sorensen,Jessica_CoincidenceofCallie_BS.txt",FIC,English,Unkown,2012,Jessica,Sorensen,CoincidenceofCallie,110206,13,14.1707599331,3.7886131069,-2.3502,0.25767,-3.0943,4.17,https://www.goodreads.com/search?q=+Coincidenceof+Callie
"2012_Spalding,Linda_Purchase_PW.txt",FIC,English,Unkown,2012,Spalding,Linda,Purchase,115198,56,17.6170668298,4.1102137625,-2.4001,0.16295,-3.0499,3.4,https://www.goodreads.com/search?q=Linda+Spalding+Purchase
"2012_Spence,Simon_TheStoneRoses_NF.txt",NON,English,Mixed Genre,2012,Spence,Simon,TheStoneRoses,121997,109,21.3281468531,4.3227333192,-2.4406,0.1284,-3.0488,3.88,https://www.goodreads.com/search?q=Simon+Spence+The+Stone+Roses
"2012_Stead,Rebecca_Liar&Spy_MG.txt",FIC,English,Middle Grade,2012,Stead,Rebecca,LiarAndSpy,50825,30,11.8252675663,3.8487596957,-2.3128,0.22414,-2.8924,3.81,https://www.goodreads.com/search?q=Rebecca+Stead+Liar+And+Spy
"2012_Stedman,ML_LightBetweenOceans_BS.txt",FIC,English,Unkown,2012,ML,Stedman,LightBetweenOceans,130486,62,14.7225544398,4.0919815943,-2.312,0.25294,-3.0673,4.03,https://www.goodreads.com/search?q=Stedman+ML+Light+Between+Oceans
"2012_Stedman,ML_TheLightBetweenOceans_CT.txt",FIC,English,Unkown,2012,Stedman,ML,TheLightBetweenOceans,130486,59,14.8195343555,4.0911923866,-2.312,0.25294,-3.0673,4.03,https://www.goodreads.com/search?q=ML+Stedman+The+Light+Between+Oceans
"2012_Strayed,Cheryl_TinyBeautifulThings_ME.txt",NON,English,Memoir,2012,Strayed,Cheryl,TinyBeautifulThings,112379,20,18.0094551282,4.0668244354,-2.2225,0.20493,-2.9391,4.29,https://www.goodreads.com/search?q=Cheryl+Strayed+Tiny+Beautiful+Things
"2012_Strayed,Cheryl_Wild_ME.txt",NON,English,Memoir,2012,Strayed,Cheryl,Wild,153737,49,19.1548716671,3.986913425,-2.3412,0.19818,-3.0536,4.03,https://www.goodreads.com/search?q=Cheryl+Strayed+Wild
